Bootstrapping instrument,Quote,Settlement days,Tenor,Start date,End date
EUR_YC6M_SND,,2,1D,13 Dec 2012,14 Dec 2012
EUR_YC6M_SWD,,2,1W,13 Dec 2012,20 Dec 2012
EUR_YC6M_2WD,,2,2W,13 Dec 2012,27 Dec 2012
EUR_YC6M_3WD,,2,3W,13 Dec 2012,03 Jan 2013
EUR_YC6M_1MD,,2,1M,13 Dec 2012,14 Jan 2013
EUR_YC6M_2MD,,2,2M,13 Dec 2012,13 Feb 2013
EUR_YC6M_3MD,,2,3M,13 Dec 2012,13 Mar 2013
EUR_YC6M_4MD,,2,4M,13 Dec 2012,15 Apr 2013
EUR_YC6M_5MD,,2,5M,13 Dec 2012,13 May 2013
EUR_YC6M_TOM6F1,0.3120,3,,14 Dec 2012,14 Jun 2013
EUR_YC6M_1x7F,0.2930,,1M,14 Jan 2013,15 Jul 2013
EUR_YC6M_2x8F,0.2720,,2M,13 Feb 2013,13 Aug 2013
EUR_YC6M_3x9F,0.2600,,3M,13 Mar 2013,13 Sep 2013
EUR_YC6M_4x10F,0.2560,,4M,15 Apr 2013,15 Oct 2013
EUR_YC6M_5x11F,0.2520,,5M,13 May 2013,13 Nov 2013
EUR_YC6M_6x12F,0.2480,,6M,13 Jun 2013,13 Dec 2013
EUR_YC6M_7x13F,0.2540,,7M,15 Jul 2013,15 Jan 2014
EUR_YC6M_8x14F,0.2610,,8M,13 Aug 2013,13 Feb 2014
EUR_YC6M_9x15F,0.2670,,9M,13 Sep 2013,13 Mar 2014
EUR_YC6M_10x16F,0.2790,,10M,14 Oct 2013,14 Apr 2014
EUR_YC6M_11x17F,0.2910,,11M,13 Nov 2013,13 May 2014
EUR_YC6M_12x18F,0.3030,,12M,13 Dec 2013,13 Jun 2014
EUR_YC6M_13x19F,0.3180,,13M,13 Jan 2014,14 Jul 2014
EUR_YC6M_14x20F,0.3350,,14M,13 Feb 2014,13 Aug 2014
EUR_YC6M_15x21F,0.3520,,15M,13 Mar 2014,15 Sep 2014
EUR_YC6M_16x22F,0.3710,,16M,14 Apr 2014,14 Oct 2014
EUR_YC6M_17x23F,0.3890,,17M,13 May 2014,13 Nov 2014
EUR_YC6M_18x24F,0.4090,,18M,13 Jun 2014,15 Dec 2014
EUR_YC6M_AB6E2Y,0.32400,2,2Y,13 Dec 2012,15 Dec 2014
EUR_YC6M_AB6E3Y,0.4240,2,3Y,13 Dec 2012,14 Dec 2015
EUR_YC6M_AB6E4Y,0.5760,2,4Y,13 Dec 2012,13 Dec 2016
EUR_YC6M_AB6E5Y,0.7620,2,5Y,13 Dec 2012,13 Dec 2017
EUR_YC6M_AB6E6Y,0.9540,2,6Y,13 Dec 2012,13 Dec 2018
EUR_YC6M_AB6E7Y,1.1350,2,7Y,13 Dec 2012,13 Dec 2019
EUR_YC6M_AB6E8Y,1.3030,2,8Y,13 Dec 2012,14 Dec 2020
EUR_YC6M_AB6E9Y,1.4520,2,9Y,13 Dec 2012,13 Dec 2021
EUR_YC6M_AB6E10Y,1.5840,2,10Y,13 Dec 2012,13 Dec 2022
EUR_YC6M_AB6E12Y,1.8090,2,12Y,13 Dec 2012,13 Dec 2024
EUR_YC6M_AB6E15Y,2.0370,2,15Y,13 Dec 2012,13 Dec 2027
EUR_YC6M_AB6E20Y,2.1870,2,20Y,13 Dec 2012,13 Dec 2032
EUR_YC6M_AB6E25Y,2.2340,2,25Y,13 Dec 2012,14 Dec 2037
EUR_YC6M_AB6E30Y,2.2560,2,30Y,13 Dec 2012,15 Dec 2042
EUR_YC6M_AB6E35Y,2.2950,2,35Y,13 Dec 2012,13 Dec 2047
EUR_YC6M_AB6E40Y,2.3480,2,40Y,13 Dec 2012,13 Dec 2052
EUR_YC6M_AB6E50Y,2.4210,2,50Y,13 Dec 2012,13 Dec 2062
EUR_YC6M_AB6E60Y,2.4630,2,60Y,13 Dec 2012,13 Dec 2072
