Bootstrapping instrument,Quote,Settlement days,Tenor,Start date,End date
EUR_YC3M_2WD,0.1865,2,2W,13 Dec 2012,27 Dec 2012
EUR_YC3M_3WD,0.1969,2,3W,13 Dec 2012,03 Jan 2013
EUR_YC3M_1MD,0.1951,2,1M,13 Dec 2012,14 Jan 2013
EUR_YC3M_2MD,0.1874,2,2M,13 Dec 2012,13 Feb 2013
EUR_YC3M_TOM3F1,0.1790,3,3M,14 Dec 2012,14 Mar 2013
EUR_YC3M_FUT3MZ2,99.8225,,,19 Dec 2012,19 Mar 2013
EUR_YC3M_FUT3MH3,99.8725,,,20 Mar 2013,20 Jun 2013
EUR_YC3M_FUT3MM3,99.8775,,,19 Jun 2013,19 Sep 2013
EUR_YC3M_FUT3MU3,99.8725,,,18 Sep 2013,18 Dec 2013
EUR_YC3M_FUT3MZ3,99.8425,,,18 Dec 2013,18 Mar 2014
EUR_YC3M_FUT3MH4,99.8025,,,19 Mar 2014,19 Jun 2014
EUR_YC3M_FUT3MM4,99.7425,,,18 Jun 2014,18 Sep 2014
EUR_YC3M_FUT3MU4,99.6875,,,17 Sep 2014,17 Dec 2014
EUR_YC3M_AB3E3Y,0.2850,2,3Y,13 Dec 2012,14 Dec 2015
EUR_YC3M_AB3E4Y,0.4370,2,4Y,13 Dec 2012,13 Dec 2016
EUR_YC3M_AB3E5Y,0.6230,2,5Y,13 Dec 2012,13 Dec 2017
EUR_YC3M_AB3E6Y,0.8170,2,6Y,13 Dec 2012,13 Dec 2018
EUR_YC3M_AB3E7Y,1.0000,2,7Y,13 Dec 2012,13 Dec 2019
EUR_YC3M_AB3E8Y,1.1710,2,8Y,13 Dec 2012,14 Dec 2020
EUR_YC3M_AB3E9Y,1.3240,2,9Y,13 Dec 2012,13 Dec 2021
EUR_YC3M_AB3E10Y,1.4590,2,10Y,13 Dec 2012,13 Dec 2022
EUR_YC3M_AB3E12Y,1.6920,2,12Y,13 Dec 2012,13 Dec 2024
EUR_YC3M_AB3E15Y,1.9330,2,15Y,13 Dec 2012,13 Dec 2027
EUR_YC3M_AB3E20Y,2.0990,2,20Y,13 Dec 2012,13 Dec 2032
EUR_YC3M_AB3E25Y,2.1560,2,25Y,13 Dec 2012,14 Dec 2037
EUR_YC3M_AB3E30Y,2.1860,2,30Y,13 Dec 2012,15 Dec 2042
EUR_YC3M_AB3EBASIS30Y,7.00,2,30Y,13 Dec 2012,13 Dec 2047
EUR_YC3M_AB3EBASIS40Y,6.00,2,40Y,13 Dec 2012,13 Dec 2052
EUR_YC3M_AB3EBASIS50Y,5.40,2,50Y,13 Dec 2012,13 Dec 2062
