Bootstrapping instrument,Quote,Settlement days,Tenor,Start date,End date
EUR_YC12M_1MD,0.6537,2,1M,13 Dec 2012,14 Jan 2013
EUR_YC12M_3MD,0.6187,2,3M,13 Dec 2012,13 Mar 2013
EUR_YC12M_6MD,0.5772,2,6M,13 Dec 2012,13 Jun 2013
EUR_YC12M_9MD,0.5563,2,9M,13 Dec 2012,13 Sep 2013
EUR_YC12M_12MD,0.5400,2,12M,13 Dec 2012,13 Dec 2013
EUR_YC12M_3x15F,0.4974,,3M,13 Mar 2013,13 Mar 2014
EUR_YC12M_6x18F,0.4783,,6M,13 Jun 2013,13 Jun 2014
EUR_YC12M_9x21F,0.4822,,9M,13 Sep 2013,15 Sep 2014
EUR_YC12M_12x24F,0.5070,,12M,13 Dec 2013,15 Dec 2014
EUR_YC12M_15x27F,0.5481,,15M,13 Mar 2014,13 Mar 2015
EUR_YC12M_18x30F,0.6025,,18M,13 Jun 2014,15 Jun 2015
EUR_YC12M_AB12EBASIS3Y,17.90,2,3Y,13 Dec 2012,14 Dec 2015
EUR_YC12M_AB12EBASIS4Y,16.40,2,4Y,13 Dec 2012,13 Dec 2016
EUR_YC12M_AB12EBASIS5Y,15.10,2,5Y,13 Dec 2012,13 Dec 2017
EUR_YC12M_AB12EBASIS6Y,13.90,2,6Y,13 Dec 2012,13 Dec 2018
EUR_YC12M_AB12EBASIS7Y,13.00,2,7Y,13 Dec 2012,13 Dec 2019
EUR_YC12M_AB12EBASIS8Y,12.30,2,8Y,13 Dec 2012,14 Dec 2020
EUR_YC12M_AB12EBASIS9Y,11.80,2,9Y,13 Dec 2012,13 Dec 2021
EUR_YC12M_AB12EBASIS10Y,11.30,2,10Y,13 Dec 2012,13 Dec 2022
EUR_YC12M_AB12EBASIS12Y,10.60,2,12Y,13 Dec 2012,13 Dec 2024
EUR_YC12M_AB12EBASIS15Y,9.30,2,15Y,13 Dec 2012,13 Dec 2027
EUR_YC12M_AB12EBASIS20Y,8.00,2,20Y,13 Dec 2012,13 Dec 2032
EUR_YC12M_AB12EBASIS25Y,7.20,2,25Y,13 Dec 2012,14 Dec 2037
EUR_YC12M_AB12EBASIS30Y,6.60,2,30Y,13 Dec 2012,15 Dec 2042
